Chain,RecordTime,Delay
Chain1,99,19
Chain2,146,46
Chain4,159,39
Chain1,181,21
Chain3,221,61
Chain1,274,34
Chain4,277,37
Chain2,284,84
Chain1,360,40
Chain2,388,88
Chain4,391,31
Chain3,420,100
Chain1,444,44
Chain2,469,69
Chain1,527,47
Chain4,546,66
Chain3,581,101
Chain1,597,37
Chain2,618,118
Chain4,655,55
Chain2,666,66
Chain1,682,42
Chain3,722,82
Chain1,775,55
Chain4,778,58
Chain2,784,84
Chain1,842,42
Chain4,886,46
Chain2,893,93
Chain1,923,43
Chain3,944,144
Chain1,993,33
Chain4,1021,61
Chain2,1027,127
Chain3,1069,109
Chain1,1095,55
Chain2,1116,116
Chain4,1119,39
Chain1,1163,43
Chain2,1181,81
Chain3,1195,75
Chain1,1248,48
Chain4,1271,71
Chain2,1277,77
Chain1,1301,21
Chain4,1373,53
Chain1,1389,29
Chain2,1395,95
Chain3,1418,138
Chain1,1473,33
Chain4,1486,46
Chain2,1493,93
Chain3,1522,82
Chain1,1575,55
Chain2,1582,82
Chain4,1584,24
Chain1,1645,45
Chain2,1685,85
Chain3,1750,150
Chain1,1800,120
Chain4,1802,122
Chain1,1868,108
Chain2,1892,192
Chain4,1927,127
Chain1,1963,123
Chain2,1977,177
Chain1,2026,106
Chain4,2058,138
Chain3,2066,306
Chain2,2072,172
Chain1,2093,93
Chain4,2128,88
Chain1,2157,77
Chain2,2187,187
Chain3,2228,308
Chain1,2254,94
Chain4,2257,97
Chain2,2270,170
Chain1,2335,95
Chain3,2357,277
Chain4,2359,79
Chain2,2366,166
Chain1,2400,80
Chain2,2428,128
Chain1,2465,65
Chain3,2473,233
Chain4,2521,121
Chain1,2554,74
Chain2,2560,160
Chain4,2592,72
Chain1,2622,62
Chain3,2660,260
Chain2,2667,167
Chain1,2722,82
Chain4,2725,85
Chain2,2731,131
Chain3,2750,190
Chain1,2794,74
Chain4,2823,63
Chain2,2829,129
Chain1,2854,54
Chain3,2901,181
Chain2,2907,107
Chain1,2939,59
Chain4,2958,78
Chain1,3001,41
Chain2,3022,122
Chain3,3030,150
Chain4,3071,71
Chain1,3087,47
Chain2,3120,120
Chain3,3153,113
Chain1,3187,67
Chain4,3190,70
Chain2,3196,96
Chain1,3248,48
Chain2,3304,104
Chain3,3350,150
Chain4,3370,130
Chain1,3402,122
Chain1,3468,108
Chain4,3487,127
Chain2,3504,204
Chain1,3563,123
Chain4,3573,93
Chain2,3579,179
Chain1,3628,108
Chain3,3666,306
Chain2,3673,173
Chain1,3693,93
Chain4,3728,128
Chain1,3770,90
Chain2,3787,187
Chain4,3822,102
Chain3,3830,310
Chain1,3867,107
Chain2,3880,180
Chain1,3929,89
Chain4,3951,111
Chain3,3959,279
Chain2,3976,176
Chain1,4035,115
Chain4,4044,84
Chain2,4051,151
Chain1,4067,67
Chain3,4131,291
Chain1,4154,74
Chain4,4156,76
Chain2,4167,167
Chain1,4222,62
Chain3,4258,258
Chain2,4267,167
Chain4,4287,87
Chain1,4330,90
Chain2,4352,152
Chain3,4360,200
Chain1,4394,74
Chain4,4423,103
Chain2,4429,129
Chain1,4464,64
Chain4,4495,55
Chain3,4518,198
Chain1,4540,60
Chain2,4558,158
Chain1,4626,66
Chain4,4628,68
Chain2,4645,145
Chain3,4653,173
Chain1,4698,58
Chain2,4730,130
Chain4,4741,61
Chain1,4782,62
Chain3,4790,150
Chain2,4796,96
Chain1,4848,48
Chain2,4888,88
Chain4,4955,155
Chain3,4963,163
Chain1,4994,114
Chain2,5073,173
Chain1,5128,168
Chain4,5131,211
Chain2,5148,148
Chain3,5156,196
Chain1,5200,160
Chain4,5229,189
Chain2,5244,144
Chain1,5260,140
Chain3,5307,187
Chain1,5344,144
Chain4,5357,197
Chain2,5366,166
Chain1,5422,142
Chain2,5435,135
Chain3,5442,162
Chain4,5477,197
Chain1,5494,134
Chain2,5532,132
Chain1,5585,145
Chain4,5588,188
Chain2,5595,95
Chain3,5618,178
Chain1,5654,134
Chain4,5688,168
Chain2,5695,95
Chain1,5725,125
Chain3,5778,178
Chain2,5785,85
Chain1,5816,136
Chain4,5829,189
Chain1,5879,119
Chain3,5897,137
Chain2,5918,118
Chain4,5921,161
Chain1,5965,125
Chain2,5983,83
Chain3,5998,78
Chain1,6048,128
Chain4,6071,191
Chain2,6077,77
Chain1,6101,101
Chain4,6173,173
Chain3,6181,101
Chain1,6197,117
Chain2,6218,118
Chain1,6273,113
Chain4,6286,166
Chain2,6293,93
Chain3,6325,85
Chain1,6375,135
Chain2,6382,82
Chain4,6384,144
Chain1,6446,126
Chain2,6495,95
Chain3,6550,150
Chain1,6600,200
Chain4,6602,242
Chain1,6663,183
Chain2,6692,192
Chain4,6727,247
Chain1,6770,210
Chain2,6777,177
Chain1,6826,186
Chain3,6863,303
Chain4,6866,266
Chain2,6873,173
Chain1,6893,173
