Chain,RecordTime,Frequency
Chain1,83,0.0
Chain2,140,0.0
Chain4,157,0.0
Chain1,163,12.5288
Chain3,199,0.0
Chain1,258,11.4408
Chain4,274,8.51021
Chain2,277,7.29284
Chain1,344,11.5101
Chain2,381,8.27782
Chain4,388,8.64611
Chain3,397,5.03633
Chain1,420,11.6633
Chain2,463,9.2951
Chain1,495,12.6528
Chain4,538,7.86006
Chain3,573,5.34929
Chain1,581,12.6706
Chain2,597,9.3776
Chain4,652,7.93318
Chain2,655,10.9633
Chain1,666,12.2196
Chain3,700,5.99016
Chain1,759,11.3767
Chain4,775,7.75177
Chain2,778,9.51898
Chain1,816,12.7672
Chain4,883,8.69791
Chain2,886,10.3756
Chain1,893,13.2275
Chain3,930,5.6332
Chain1,976,13.7918
Chain4,1018,8.20096
Chain2,1021,8.20089
Chain3,1061,6.14883
Chain1,1069,11.8615
Chain2,1095,9.45507
Chain4,1116,8.79428
Chain1,1147,11.7906
Chain2,1174,10.4061
Chain3,1188,6.14896
Chain1,1216,12.539
Chain4,1268,7.79523
Chain2,1271,12.0015
Chain1,1285,13.8713
Chain4,1370,8.52706
Chain1,1373,13.2965
Chain2,1389,10.2102
Chain3,1395,6.44469
Chain1,1456,12.4598
Chain4,1484,8.16427
Chain2,1486,9.61442
Chain3,1500,6.83429
Chain1,1549,11.3765
Chain2,1575,9.86325
Chain4,1582,9.57052
Chain1,1616,12.3465
Chain2,1679,10.3486
Chain3,1742,5.40753
Chain1,1768,9.63937
Chain4,1800,6.98175
Chain1,1836,10.4249
Chain2,1885,7.5253
Chain4,1924,6.81112
Chain1,1927,9.64325
Chain2,1970,7.59335
Chain1,1995,13.2121
Chain4,2055,6.33404
Chain3,2058,4.52859
Chain2,2066,7.74842
Chain1,2072,12.7006
Chain4,2125,9.21164
Chain1,2141,14.0129
Chain2,2181,10.1434
Chain3,2220,4.16485
Chain1,2228,12.8678
Chain4,2254,9.08594
Chain2,2264,10.2192
Chain1,2298,13.2752
Chain3,2349,4.94674
Chain4,2357,9.95055
Chain2,2359,10.2211
Chain1,2384,12.3379
Chain2,2422,12.4458
Chain1,2428,14.9592
Chain3,2465,7.37559
Chain4,2519,7.62986
Chain1,2521,13.4702
Chain2,2554,10.3396
Chain4,2589,8.95811
Chain1,2592,14.4356
Chain3,2640,7.14632
Chain2,2660,9.97002
Chain1,2692,11.4001
Chain4,2722,8.20783
Chain2,2725,9.89598
Chain3,2732,7.83804
Chain1,2778,11.6849
Chain4,2820,9.94843
Chain2,2823,11.152
Chain1,2829,12.6256
Chain3,2878,7.25232
Chain2,2901,12.481
Chain1,2907,13.9046
Chain4,2955,8.19625
Chain1,2985,14.5016
Chain2,3001,10.8658
Chain3,3022,7.84327
Chain4,3069,8.66126
Chain1,3071,12.4045
Chain2,3098,10.8816
Chain3,3126,7.59906
Chain1,3171,11.3765
Chain4,3187,8.17346
Chain2,3190,10.3747
Chain1,3216,12.9977
Chain2,3282,10.685
Chain3,3342,6.4656
Chain4,3368,7.27344
Chain1,3370,10.0327
Chain1,3436,11.3088
Chain4,3485,7.20725
Chain2,3487,7.71127
Chain1,3538,9.2916
Chain4,3570,7.83357
Chain2,3573,7.83345
Chain1,3597,13.2092
Chain3,3658,4.7187
Chain2,3666,7.80951
Chain1,3673,12.6975
Chain4,3725,8.38663
Chain1,3751,14.1143
Chain2,3781,10.2339
Chain4,3820,8.95569
Chain3,3822,4.30927
Chain1,3830,12.8733
Chain2,3874,9.96673
Chain1,3898,13.2837
Chain4,3949,7.92584
Chain3,3951,4.92623
Chain2,3959,10.2271
Chain1,3994,12.3416
Chain4,4042,9.48153
Chain2,4044,11.3744
Chain1,4051,13.5989
Chain3,4123,6.44462
Chain1,4131,12.8748
Chain4,4154,8.98616
Chain2,4156,10.6175
Chain1,4192,15.1824
Chain3,4250,7.0192
Chain2,4258,10.0467
Chain4,4285,8.92258
Chain1,4294,12.3394
Chain2,4330,10.5146
Chain3,4352,7.48645
Chain1,4378,12.1676
Chain4,4420,7.92911
Chain2,4423,11.2608
Chain1,4429,12.6233
Chain4,4493,8.84948
Chain3,4495,8.06674
Chain1,4518,13.4121
Chain2,4551,10.226
Chain1,4595,13.8137
Chain4,4626,8.7986
Chain2,4628,10.0416
Chain3,4645,7.58554
Chain1,4671,12.4002
Chain2,4723,9.97919
Chain4,4730,9.68003
Chain1,4766,12.1002
Chain3,4782,6.9782
Chain2,4790,12.5702
Chain1,4816,13.6048
Chain2,4882,11.8445
Chain4,4953,6.52349
Chain3,4955,6.52362
Chain1,4976,9.85829
Chain2,5054,9.07746
Chain1,5098,9.03674
Chain4,5128,5.96868
Chain2,5131,8.79182
Chain3,5148,5.96871
Chain1,5184,8.14019
Chain4,5226,6.04462
Chain2,5229,8.63996
Chain1,5244,11.1899
Chain3,5299,5.80281
Chain1,5307,14.3445
Chain4,5355,7.4587
Chain2,5357,9.88261
Chain1,5391,14.5001
Chain2,5422,10.3206
Chain3,5435,6.25851
Chain4,5475,8.66065
Chain1,5477,12.8336
Chain2,5525,10.1204
Chain1,5569,11.4315
Chain4,5585,8.35258
Chain2,5588,13.0027
Chain3,5595,6.71449
Chain1,5618,13.2389
Chain4,5685,9.07566
Chain2,5688,11.2694
Chain1,5695,13.8166
Chain3,5756,6.56173
Chain2,5778,11.8561
Chain1,5785,13.9037
Chain4,5827,8.52258
Chain1,5863,12.2452
Chain3,5879,6.75238
Chain2,5897,9.71111
Chain4,5918,9.01502
Chain1,5949,11.7877
Chain2,5976,10.4026
Chain3,5990,7.5969
Chain1,6016,13.0127
Chain4,6068,7.83696
Chain2,6071,10.262
Chain1,6085,13.5041
Chain4,6170,8.74197
Chain3,6173,7.20171
Chain1,6181,12.9593
Chain2,6197,10.0096
Chain1,6256,12.4565
Chain4,6284,8.20978
Chain2,6286,9.67848
Chain3,6300,7.12874
Chain1,6349,11.3708
Chain2,6375,9.85864
Chain4,6382,9.56635
Chain1,6416,12.7653
Chain2,6480,10.6085
Chain3,6542,5.42684
Chain1,6568,9.64136
Chain4,6600,6.98064
Chain1,6637,10.422
Chain2,6683,7.56805
Chain4,6724,6.80908
Chain1,6754,8.87712
Chain2,6770,7.59212
Chain1,6795,13.2033
Chain3,6855,4.39433
Chain4,6863,6.22937
Chain2,6866,7.76409
Chain1,6873,12.7052
Chain4,6925,9.21239
Chain1,6941,16.0167
Chain2,6981,10.0673
Chain3,7020,4.16532
Chain1,7034,12.5437
Chain4,7054,9.09052
Chain2,7064,10.2254
Chain1,7098,13.2823
Chain3,7149,4.94845
Chain4,7157,10.2259
Chain2,7159,10.226
Chain1,7184,12.3416
Chain2,7222,12.448
Chain1,7228,15.4345
Chain3,7265,7.33011
Chain4,7321,7.58612
Chain1,7324,13.3311
Chain2,7354,10.3396
Chain4,7389,8.95753
Chain1,7392,14.4306
Chain3,7440,7.14587
Chain2,7460,9.96737
Chain1,7492,11.3982
Chain4,7522,8.20608
Chain2,7525,9.89491
Chain3,7532,7.83659
Chain1,7578,11.7747
Chain4,7620,10.0138
Chain2,7623,11.1377
Chain1,7630,12.61
Chain3,7679,7.24586
Chain2,7701,12.4624
Chain1,7708,13.8813
Chain4,7756,8.18814
Chain1,7785,14.4993
Chain2,7816,10.309
Chain3,7823,7.836
Chain4,7869,8.65224
Chain1,7872,12.4022
Chain2,7899,10.8788
Chain3,7927,7.59157
Chain1,7971,11.3738
Chain4,7988,8.17092
Chain2,7990,10.3724
Chain1,8016,13.0206
Chain2,8082,11.2859
Chain3,8142,6.47052
Chain4,8168,7.28085
Chain1,8170,10.0461
Chain1,8236,11.3281
Chain4,8285,7.21311
Chain2,8288,7.71844
Chain1,8343,9.16031
Chain4,8370,7.84455
Chain2,8391,7.49269
Chain1,8397,13.2143
Chain3,8455,4.74019
Chain2,8463,7.86026
Chain1,8472,12.7015
Chain4,8548,7.88011
Chain1,8551,14.4334
Chain2,8581,10.2382
Chain4,8620,8.96002
Chain3,8622,4.31254
Chain1,8630,12.8743
Chain2,8674,10.6011
Chain1,8698,13.2878
Chain4,8748,7.92732
Chain3,8751,4.92744
Chain2,8759,10.1461
Chain1,8794,12.3462
Chain4,8842,10.2307
Chain2,8844,11.3794
Chain1,8851,13.6034
Chain3,8923,6.41232
