Chain,RecordTime,Frequency
Chain3,519,6.25109
Chain2,548,12.4945
Chain1,563,12.5005
Chain2,600,12.5028
Chain1,643,12.5015
Chain3,679,6.24983
Chain2,708,12.5051
Chain1,723,12.5002
Chain2,760,12.4994
Chain1,803,12.5004
Chain3,839,6.25142
Chain2,868,12.5002
Chain1,883,12.5001
Chain2,920,12.4996
Chain1,963,12.5004
Chain3,1017,5.92244
Chain4,1034,0.0
Chain3,1250,4.86903
Chain2,1278,4.86904
Chain3,1307,6.87975
Chain2,1336,4.8072
Chain2,1366,22.8132
Chain2,1396,33.3027
Chain2,1426,33.3005
Chain2,1456,33.2857
Chain3,1485,8.49426
Chain2,1514,22.7991
Chain2,1544,22.8149
Chain1,1555,2.97409
Chain1,1574,3.27284
Chain1,1593,53.724
Chain3,1629,6.22531
Chain2,1657,13.9411
Chain1,1669,21.0887
Chain2,1706,12.3397
Chain1,1718,16.019
Chain1,1736,29.7517
Chain1,1755,53.7737
Chain3,1791,6.54518
Chain2,1820,12.3327
Chain1,1831,21.0529
Chain2,1868,12.3285
Chain1,1880,15.9952
Chain1,1898,29.7468
Chain1,1917,53.7683
Chain3,1953,6.1668
Chain2,1982,12.3347
Chain1,1993,21.0843
