Chain,RecordTime,Delay
Chain2,542,62
Chain3,557,77
Chain1,579,19
Chain2,609,49
Chain1,659,19
Chain2,702,62
Chain3,717,77
Chain1,739,19
Chain2,769,49
Chain1,819,19
Chain2,862,62
Chain3,877,77
Chain1,899,19
Chain2,929,49
Chain1,979,19
Chain2,1035,75
Chain4,1244,244
Chain3,1257,297
Chain1,1284,244
Chain1,1319,199
Chain1,1365,165
Chain2,1399,359
Chain2,1408,288
Chain2,1429,229
Chain1,1445,165
Chain3,1482,362
Chain1,1499,139
Chain2,1533,253
Chain2,1549,189
Chain1,1565,125
Chain3,1607,327
Chain2,1617,177
Chain1,1633,113
Chain2,1674,154
Chain3,1682,242
Chain1,1698,98
Chain2,1741,141
Chain1,1764,84
Chain3,1791,191
Chain2,1807,127
Chain1,1823,63
Chain2,1866,106
Chain1,1889,49
Chain3,1916,156
Chain2,1925,85
Chain1,1948,28
Chain2,1986,66
