Chain,RecordTime,Delay
Chain3,527,47
Chain2,557,77
Chain1,579,19
Chain2,609,49
Chain1,659,19
Chain3,687,47
Chain2,717,77
Chain1,739,19
Chain2,769,49
Chain1,819,19
Chain3,847,47
Chain2,877,77
Chain1,899,19
Chain2,929,49
Chain1,979,19
Chain3,1032,72
Chain4,1230,230
Chain3,1258,138
Chain2,1288,328
Chain3,1315,35
Chain2,1345,305
Chain2,1375,255
Chain2,1405,205
Chain2,1435,155
Chain2,1465,105
Chain3,1493,53
Chain2,1523,83
Chain2,1553,33
Chain1,1572,532
Chain1,1590,470
Chain1,1609,409
Chain3,1636,36
Chain2,1667,67
Chain1,1685,405
Chain2,1715,35
Chain1,1734,374
Chain1,1752,312
Chain1,1771,251
Chain3,1799,39
Chain2,1829,69
Chain1,1847,247
Chain2,1877,37
Chain1,1896,216
Chain1,1915,155
Chain1,1933,93
Chain3,1961,41
Chain2,1991,71
