Chain,RecordTime,Frequency
Chain4,1506,7.44692
Chain2,1547,10.3667
Chain1,1557,10.9706
Chain4,1583,9.74087
Chain1,1603,13.1406
Chain2,1658,10.2599
Chain3,1743,5.42287
Chain1,1753,9.95642
Chain1,1772,13.9372
Chain2,1827,7.81317
Chain2,1872,9.23857
Chain1,1881,10.7841
Chain3,1917,5.01523
Chain1,1928,17.2057
Chain2,1983,9.24723
Chain3,2009,5.75644
Chain1,2019,12.1233
Chain2,2074,12.1245
Chain1,2083,14.849
Chain3,2119,7.97048
Chain2,2166,10.213
Chain1,2175,12.123
Chain4,2202,3.74904
Chain2,2243,11.5177
Chain1,2252,12.885
Chain3,2288,8.0908
Chain4,2306,3.74894
Chain2,2348,10.9687
Chain1,2357,10.9702
Chain4,2383,3.7489
Chain4,2396,15.4019
Chain4,2409,29.1039
Chain1,2414,12.5306
Chain2,2469,9.88653
Chain3,2496,6.16231
